Sample	R1	R2	Community	Qubit_ug_ml	Com_Id	Media	Temp	Evo_status	Stress	Diversity	group	genotype
D11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D11/D11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D11/D11_R2.fastq.gz	D11	50	D11	NA	NA	Non_evo	NA	One	One	Non_evo
D14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D14/D14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D14/D14_R2.fastq.gz	D14	19.4	D14	NA	NA	Non_evo	NA	One	One	Non_evo
D17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D17/D17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/D17/D17_R2.fastq.gz	D17	9..22	D17	NA	NA	Non_evo	NA	One	One	Non_evo
I11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I11/I11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I11/I11_R2.fastq.gz	I11	30.4	I11	NA	NA	Non_evo	NA	One	One	Non_evo
I15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I15/I15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I15/I15_R2.fastq.gz	I15	37	I15	NA	NA	Non_evo	NA	One	One	Non_evo
I18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I18/I18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I18/I18_R2.fastq.gz	I18	11.2	I18	NA	NA	Non_evo	NA	One	One	Non_evo
I2	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I2/I2_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I2/I2_R2.fastq.gz	I2	28	I2	NA	NA	Non_evo	NA	One	One	Non_evo
I20	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I20/I20_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I20/I20_R2.fastq.gz	I20	19.1	I20	NA	NA	Non_evo	NA	One	One	Non_evo
I22	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I22/I22_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I22/I22_R2.fastq.gz	I22	14.9	I22	NA	NA	Non_evo	NA	One	One	Non_evo
I23	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I23/I23_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I23/I23_R2.fastq.gz	I23	27.8	I23	NA	NA	Non_evo	NA	One	One	Non_evo
I8	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I8/I8_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I8/I8_R2.fastq.gz	I8	17.8	I8	NA	NA	Non_evo	NA	One	One	Non_evo
I9	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I9/I9_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/I9/I9_R2.fastq.gz	I9	19.7	I9	NA	NA	Non_evo	NA	One	One	Non_evo
M1.20.C1	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C1/M1.20.C1_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C1/M1.20.C1_R2.fastq.gz	1	40	Com1	M1	20	NA	Control	Two	Two	NA
M1.20.C10	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C10/M1.20.C10_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C10/M1.20.C10_R2.fastq.gz	40	39.8	Com10	M1	20	NA	Control	Four	Four	NA
M1.20.C11	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C11/M1.20.C11_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C11/M1.20.C11_R2.fastq.gz	44	28.6	Com11	M1	20	NA	Control	Four	Four	NA
M1.20.C12	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C12/M1.20.C12_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C12/M1.20.C12_R2.fastq.gz	48	35.6	Com12	M1	20	NA	Control	Four	Four	NA
M1.20.C13	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C13/M1.20.C13_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C13/M1.20.C13_R2.fastq.gz	105	15.9	Com13	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C14	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C14/M1.20.C14_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C14/M1.20.C14_R2.fastq.gz	108	25.4	Com14	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C15	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C15/M1.20.C15_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C15/M1.20.C15_R2.fastq.gz	111	22.6	Com15	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C16	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C16/M1.20.C16_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C16/M1.20.C16_R2.fastq.gz	115	39.6	Com16	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C17	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C17/M1.20.C17_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C17/M1.20.C17_R2.fastq.gz	118	31.8	Com17	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C18	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C18/M1.20.C18_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C18/M1.20.C18_R2.fastq.gz	121	19	Com18	M1	20	Non_evo	Control	Eight	Eight	Non_evo
M1.20.C19	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C19/M1.20.C19_R1.fastq.gz	/hdd0/susbus/nf_core/data/hebe_16S/00.RawData/M1.20.C19/M1.20.C19_R2.fastq.gz	125	35.6	Com19	M1	20	Non_evo	Control	Eight	Eight	Non_evo
